Ranitidine, Calcium carbonate, Bethanechol
Photodynamic therapy, Benzoyl peroxide, Resorcinol
Leukotriene antagonist, Montelukast, Prednisolone
Anger management, Anxiolytic, Antipsychotic
Nortriptyline, Support group, Pemoline
Acetazolamide
Haloperidol, Valproic acid, Reminiscence therapy

Antidepressant, Psychotherapy, Hospitalization
Meclofenamic acid, Harpagophytum procumbens root, Arthroplasty

Ipratropium bromide, Tiotropium bromide, Zileuton
Venlafaxine, Risperidone, Antipsychotic
Group psychotherapy, Antidepressant, Psychotherapy


Minoxidil, Finasteride, Corticosteroid

Lamotrigine, Tiagabine, Valproic acid
Radiation therapy, Cancer immunotherapy, Chemotherapy
Selective serotonin reuptake inhibitor, Tricyclic antidepressant, ...MORE
Dialectical behavior therapy, Anxiolytic, Antipsychotic


Trastuzumab, Anastrozole, Radiation therapy
Human leucocyte-derived alpha interferons, Interferon beta-1b, Radiation ...MORE

Ipratropium bromide, Alatrofloxacin, Choline theophyllinate

Cold compression therapy, Indometacin, Indomethacin Sodium
Radiation therapy, Chemotherapy, Surgery

Surgery, Non-steroidal anti-inflammatory drug, Splint
Gluten-free diet
Hysterectomy, Loop electrical excision procedure, Radiation therapy

Ipratropium bromide, Beta2-adrenergic agonist, Surgery
Radiation therapy, Vaccine, Immunotherapy
Sodium nitroprusside, Cyclothiazide, Ramipril

Cholecalciferol, Budesonide, Azathioprine


Rehydration


Smoking cessation, Insulin lispro, Anti-diabetic medication
Antifungal medication, Bacitracin, Proper hygiene
Colestipol, Loperamide, Cholestyramine

Narcotic, Moxifloxacin, Clear liquid diet



Educational Support Professional



Immunosuppressive drug, Pimecrolimus, Antibacterial
Laparoscopic surgery, Hysterectomy, Estrogen
Transurethral resection of the prostate, Alfuzosin, 5-alpha-reductase ...MORE
Ethosuximide, Phenobarbital, Lamotrigine
Penile prosthesis, Vardenafil, Yohimbine hydrochloride

Milnacipran, Transcranial magnetic stimulation




Therapeutic endoscopy, Laparoscopic surgery, Lithotripsy

Benzocaine, Methylene blue, Antiviral drug
Podophyllum resin, Human leucocyte-derived alpha interferons, Interferon ...MORE
Plasmapheresis, Antibacterial, Diuretic
Ciprofloxacin, Benzylpenicillin, Enoxacin
Aspirin, Pegloticase, Febuxostat

Tamoxifen, Liposuction, Mastectomy

Butalbital, Cefaly, Meprobamate

Streptokinase, Bisoprolol, Urokinase
Antibiotic, Cardiac surgery, ACE inhibitor

Ice pack, Immersion in cool water, Rehydration


Benzocaine, Phenylephrine, Pramocaine
Telbivudine, Liver transplantation, Entecavir



Zalcitabine, Saquinavir, Delavirdine
Protease inhibitor, Reverse transcriptase inhibitor, Antiretroviral drug ...MORE
Alimemazine, Diphenhydramine, Phenindamine
Insulin detemir, Insulin glargine, Insulin glulisine
Calcium gluconate, Sodium bicarbonate, Insulin
Indapamide, Propranolol, Furosemide
Beta blocker, Sodium iodide i-123, Propylthiouracil
Levothyroxine, Desiccated thyroid extract, Liothyronine


Antiviral drug, Neuraminidase inhibitor, Amantadine
Tuboplasty, Sermorelin, Clomiphene
Insulin detemir, Pramlintide, Edmonton protocol
Surgery, Iron supplement, Blood transfusion
Loperamide, Dietary fiber, Alosetron




Aurothioglucose, Sulfasalazine, Adalimumab

Percutaneous nephrolithotomy, Extracorporeal shock wave lithotripsy, ...MORE
Irinotecan, Pipobroman, Radiation therapy
Cryoablation, Radiofrequency ablation, Radiation therapy
Teniposide, Photodynamic therapy, Carboplatin

Chloroquine, Sulfadiazine, Hydroxychloroquine


Estrogen patch, Atropa belladonna, Estropipate
Doxorubicin
Cefaly, Almotriptan, Topiramate
Bedrest, Dilation and curettage, Dilation and evacuation


Interferon beta-1b, Occupational therapy, Azathioprine






Methamphetamine, Fenfluramine, High fiber diet
Electroconvulsive therapy, Atypical antipsychotic, Cognitive behavioral ...MORE
Glucosamine, Aspirin, Diflunisal
Bone grafting, Nafcillin, Ciprofloxacin
Hormone replacement therapy, Cholecalciferol, Sodium fluoride
Radiation therapy, Chemotherapy, Surgery
Urofollitropin, Clomiphene, Surgery
Chlorphenesin, Ketorolac, Levomepromazine


Deep brain stimulation, Ropinirole, Surgery

Nicotinamide, Cilostazol, Niacin

Clarithromycin, Amoxicillin, Surgery

Penile prosthesis, Aminobenzoate Potassium, Nesbit plication
Gabapentin, Paroxetine
Cromoglicic acid, Oxymetazoline, Prednisolone

Penicillin, Sucralfate, Dioxygen

Anxiolytic, Lamotrigine, Lithium carbonate

Fluoxetine, Selective serotonin reuptake inhibitor, Pamabrom

Radiation therapy, Radical retropubic prostatectomy, Chemotherapy
Cod liver oil, Calcitriol, Ultraviolet light therapy


Ropinirole, Cold compression therapy, Pramipexole
Aspirin, Diflunisal, Indometacin
Aspirin, Penicillin, Benzylpenicillin
Ketoconazole
Electrosurgery, Resorcinol, Benzoyl peroxide

Ivermectin, Piperonyl butoxide, Permethrin




Fluphenazine, Loxapine, Chlorpromazine Hydrochloride

Ciprofloxacin, Cefdinir, Naphazoline
Radiation therapy, Cryosurgery, Mohs surgery

Zolpidem





Antibacterial, Acetaminophen

Trypsin, Non-steroidal anti-inflammatory drug, Boric acid
Benzylpenicillin, Erythromycin, Oxytetracycline
Triamcinolone, Immunosuppressive drug, Azathioprine
